Number,Measure,Preamble,Question,Options,Randomize,ReverseCoded,id,Scoring,Part1,Part2,OnePart,OnePartLatex,subscale
120,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I buy things on impulse,Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.22,1;2;3;4,1,0,1,1,
121,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I can only think about one thing at a time.,Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.23,1;2;3;4,0,0,0,0,
122,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I change hobbies.,Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.24,1;2;3;4,0,0,0,0,
123,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I spend or charge more than I earn,Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.25,1;2;3;4,1,0,1,1,
124,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I often have extraneous thoughts when thinking,Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.26,1;2;3;4,1,0,1,1,
125,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I am more interested in the present than the future.,Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.27,1;2;3;4,0,0,0,0,
126,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I am restless at the theater or lectures.,Rarely/Never;Occasionally;Often;Almost always/Always,false,0,bis.28,1;2;3;4,0,0,0,0,
127,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I like puzzles.,Rarely/Never;Occasionally;Often;Almost always/Always,false,1,bis.29,1;2;3;4,0,0,0,0,
128,BIS,People differ in the ways they act and think in different situations. Read each statement and rate according to the labels. Do not spend too much time on any statement. Answer quickly and honestly.,I am future oriented,Rarely/Never;Occasionally;Often;Almost always/Always,false,1,bis.30,1;2;3;4,0,0,0,0,
129,AUDIT,The following questions ask about your use of alcoholic beverages during the past year. Please try to be as honest and as accurate as you can be.,How often do you have a drink containing alcohol? ,Never; Monthly or less; Two to four times a month; Two to three times a week; Four or more times a week,false,0,alcohol.1,0;1;2;3;4,1,0,1,1,
130,AUDIT,The following questions ask about your use of alcoholic beverages during the past year. Please try to be as honest and as accurate as you can be.,How many drinks containing alcohol do you have on a typical day when you are drinking?,1 or 2; 3 or 4; 5 or 6; 7 to 9; 10 or more ,false,0,alcohol.2,0;1;2;3;4,0,0,0,0,
131,AUDIT,The following questions ask about your use of alcoholic beverages during the past year. Please try to be as honest and as accurate as you can be.,How often do you have six or more drinks on one occasion?,Never; Less than monthly; Monthly; Weekly; Daily or almost daily ,false,0,alcohol.3,0;1;2;3;4,0,0,0,0,
132,AUDIT,The following questions ask about your use of alcoholic beverages during the past year. Please try to be as honest and as accurate as you can be.,How often during the last year have you found that you were not able to stop drinking once you had started?,Never; Less than monthly; Monthly; Weekly; Daily or almost daily ,false,0,alcohol.4,0;1;2;3;4,0,0,0,0,
133,AUDIT,The following questions ask about your use of alcoholic beverages during the past year. Please try to be as honest and as accurate as you can be.,How often during the last year have you failed to do what was normally expected from you because of drinking?,Never; Less than monthly; Monthly; Weekly; Daily or almost daily ,false,0,alcohol.5,0;1;2;3;4,0,0,0,0,
134,AUDIT,The following questions ask about your use of alcoholic beverages during the past year. Please try to be as honest and as accurate as you can be.,How often during the last year have you needed a first drink in the morning to get yourself going after a heavy drinking session?,Never; Less than monthly; Monthly; Weekly; Daily or almost daily ,false,0,alcohol.6,0;1;2;3;4,0,0,0,0,
135,AUDIT,The following questions ask about your use of alcoholic beverages during the past year. Please try to be as honest and as accurate as you can be.,How often during the last year have you had a feeling of guilt or remorse after drinking?,Never; Less than monthly; Monthly; Weekly; Daily or almost daily ,false,0,alcohol.7,0;1;2;3;4,0,0,0,0,
136,AUDIT,The following questions ask about your use of alcoholic beverages during the past year. Please try to be as honest and as accurate as you can be.,How often during the last year have you been unable to remember what happened the night before because you had been drinking?,Never; Less than monthly; Monthly; Weekly; Daily or almost daily ,false,0,alcohol.8,0;1;2;3;4,0,0,0,0,
137,AUDIT,The following questions ask about your use of alcoholic beverages during the past year. Please try to be as honest and as accurate as you can be.,Have you or someone else been injured as a result of your drinking?,No; Yes but not in the last year; Yes during the last year,false,0,alcohol.9,0;2;4,0,0,0,0,
138,AUDIT,The following questions ask about your use of alcoholic beverages during the past year. Please try to be as honest and as accurate as you can be.,"Has a relative or friend, or a doctor or other health worker been concerned about your drinking or suggested you cut down?",No; Yes but not in the last year; Yes during the last year,false,0,alcohol.10,0;2;4,0,0,0,0,
139,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I am terrified about being overweight,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.1,3;2;1;0;0;0,1,0,1,1,
140,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I avoid eating when I am hungry.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.2,3;2;1;0;0;0,0,0,0,0,
141,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I find myself preoccupied with food.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.3,3;2;1;0;0;0,0,0,0,0,
142,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I have gone on eating binges where I feel that I may not be able to stop. ,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.4,3;2;1;0;0;0,0,0,0,0,
143,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I cut my food into small pieces.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.5,3;2;1;0;0;0,0,0,0,0,
144,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I am aware of the calorie content of foods I eat.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.6,3;2;1;0;0;0,0,0,0,0,
145,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I particularly avoid foods with high carbohydrate content.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.7,3;2;1;0;0;0,0,0,0,0,
146,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I feel that others would prefer if I ate more.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.8,3;2;1;0;0;0,0,0,0,0,
147,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I vomit after I have eaten. ,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.9,3;2;1;0;0;0,0,0,0,0,
148,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I feel extremely guilty after eating.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.10,3;2;1;0;0;0,0,0,0,0,
149,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I am preoccupied with a desire to be thinner,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.11,3;2;1;0;0;0,1,0,1,1,
150,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I think about burning up calories when I exercise,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.12,3;2;1;0;0;0,1,0,1,1,
151,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,Other people think that I am too thin.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.13,3;2;1;0;0;0,0,0,0,0,
152,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I am preoccupied with the thought of having fat on my body,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.14,3;2;1;0;0;0,1,0,1,1,
153,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I take longer than others to eat meals.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.15,3;2;1;0;0;0,0,0,0,0,
154,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I avoid foods with sugar in them.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.16,3;2;1;0;0;0,0,0,0,0,
155,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I eat diet foods.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.17,3;2;1;0;0;0,0,0,0,0,
156,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I feel that food controls my life.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.18,3;2;1;0;0;0,0,0,0,0,
157,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I display self-control around food.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.19,3;2;1;0;0;0,0,0,0,0,
158,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I feel that others pressure me to eat.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.20,3;2;1;0;0;0,0,0,0,0,
159,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I give too much time and thought to food.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.21,3;2;1;0;0;0,0,0,0,0,
160,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I feel uncomfortable after eating sweets.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.22,3;2;1;0;0;0,0,0,0,0,
161,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I engage in dieting behaviour.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.23,3;2;1;0;0;0,0,0,0,0,
162,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I like my stomach to be empty.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.24,3;2;1;0;0;0,0,0,0,0,
163,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I enjoy trying new rich foods.,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.25,0;0;0;1;2;3,0,0,0,0,
164,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I have the impulse to vomit after meals,Always;Usually;Often;Sometimes;Rarely;Never  ,false,0,eat.26,3;2;1;0;0;0,0,0,0,0,
165,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",I am interested in things.,Not at all;Slightly;Somewhat;A lot,false,0,apathy.1,1;2;3;4,0,0,0,0,
166,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",I get things done during the day,Not at all;Slightly;Somewhat;A lot,false,0,apathy.2,1;2;3;4,1,0,1,1,
167,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",Getting things started on my own is important to me. ,Not at all;Slightly;Somewhat;A lot,false,0,apathy.3,1;2;3;4,0,0,0,0,
168,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",I am interested in having new experiences.,Not at all;Slightly;Somewhat;A lot,false,0,apathy.4,1;2;3;4,0,0,0,0,
169,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",I am interested in learning new things.,Not at all;Slightly;Somewhat;A lot,false,0,apathy.5,1;2;3;4,0,0,0,0,
170,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",I put little effort into anything.,Not at all;Slightly;Somewhat;A lot,false,1,apathy.6,1;2;3;4,0,0,0,0,
171,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",I approach life with intensity,Not at all;Slightly;Somewhat;A lot,false,0,apathy.7,1;2;3;4,1,0,1,1,
172,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",Seeing a job through to the end is important to me. ,Not at all;Slightly;Somewhat;A lot,false,0,apathy.8,1;2;3;4,0,0,0,0,
173,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",I spend time doing things that interest me. ,Not at all;Slightly;Somewhat;A lot,false,0,apathy.9,1;2;3;4,0,0,0,0,
174,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",Someone has to tell me what to do each day.,Not at all;Slightly;Somewhat;A lot,false,1,apathy.10,1;2;3;4,0,0,0,0,
175,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",I am less concerned about her/his problems than I should be.,Not at all;Slightly;Somewhat;A lot,false,1,apathy.11,1;2;3;4,0,0,0,0,
176,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",I have friends.,Not at all;Slightly;Somewhat;A lot,false,0,apathy.12,1;2;3;4,0,0,0,0,
177,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",Getting together with friends is important to me. ,Not at all;Slightly;Somewhat;A lot,false,0,apathy.13,1;2;3;4,0,0,0,0,
178,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.","When something good happens, I get excited. ",Not at all;Slightly;Somewhat;A lot,false,0,apathy.14,1;2;3;4,0,0,0,0,
179,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",I has an accurate understanding of my problems. ,Not at all;Slightly;Somewhat;A lot,false,0,apathy.15,1;2;3;4,0,0,0,0,
180,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",Getting things done during the day is important to me. ,Not at all;Slightly;Somewhat;A lot,false,0,apathy.16,1;2;3;4,0,0,0,0,
181,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",I have initiative,Not at all;Slightly;Somewhat;A lot,false,0,apathy.17,1;2;3;4,1,0,1,1,
182,AES,"For each question, choose the answer that best describes your thoughts, feelings, and actions during the past 4 weeks.",I have motivation,Not at all;Slightly;Somewhat;A lot,false,0,apathy.18,1;2;3;4,1,0,1,1,
183,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best", I feel pleasant.,Almost never;Sometimes;Often;Almost always,false,1,anxiety.1,1;2;3;4,1,0,1,1,
184,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best",I feel nervous and restless.,Almost never;Sometimes;Often;Almost always,false,0,anxiety.2,1;2;3;4,1,0,1,1,
185,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best",I feel satisfied with myself.,Almost never;Sometimes;Often;Almost always,false,1,anxiety.3,1;2;3;4,1,0,1,1,
186,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best",I wish I could be as happy as others seem to be. ,Almost never;Sometimes;Often;Almost always,false,0,anxiety.4,1;2;3;4,1,0,1,1,
187,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best",I feel like a failure.,Almost never;Sometimes;Often;Almost always,false,0,anxiety.5,1;2;3;4,1,0,1,1,
188,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best",I feel rested.,Almost never;Sometimes;Often;Almost always,false,1,anxiety.6,1;2;3;4,1,0,1,1,
189,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best","I am ""calm, cool, and collected"".",Almost never;Sometimes;Often;Almost always,false,1,anxiety.7,1;2;3;4,1,0,1,1,
190,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best",I feel that difficulties are piling up so that I cannot overcome them.,Almost never;Sometimes;Often;Almost always,false,0,anxiety.8,1;2;3;4,1,0,1,1,
191,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best",I worry too much over something that really doesn't matter. ,Almost never;Sometimes;Often;Almost always,false,0,anxiety.9,1;2;3;4,1,0,1,1,
192,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best",I am happy.,Almost never;Sometimes;Often;Almost always,false,1,anxiety.10,1;2;3;4,1,0,1,1,
193,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best",I have disturbing thoughts.,Almost never;Sometimes;Often;Almost always,false,0,anxiety.11,1;2;3;4,1,0,1,1,
194,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best",I lack self-confidence.,Almost never;Sometimes;Often;Almost always,false,0,anxiety.12,1;2;3;4,1,0,1,1,
195,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best",I feel secure.,Almost never;Sometimes;Often;Almost always,false,1,anxiety.13,1;2;3;4,1,0,1,1,
196,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best",I make decisions easily.,Almost never;Sometimes;Often;Almost always,false,1,anxiety.14,1;2;3;4,1,0,1,1,
197,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best",I feel inadequate.,Almost never;Sometimes;Often;Almost always,false,0,anxiety.15,1;2;3;4,1,0,1,1,
198,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best",I am content.,Almost never;Sometimes;Often;Almost always,false,1,anxiety.16,1;2;3;4,1,0,1,1,
199,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best",Some unimportant thought runs through my mind and bothers me.,Almost never;Sometimes;Often;Almost always,false,0,anxiety.17,1;2;3;4,1,0,1,1,
200,STAI,"Read each statement and select the appropriate response to indicate how you feel right now, that is, at this very moment. There are no right or wrong answers. Do not spend too much time on any one statement but give the answer which seems to describe your present feelings best",I take disappointments so keenly that I can't put them out of my mind.,Almost never;Sometimes;Often;Almost always,false,0,anxiety.18,1;2;3;4,1,0,1,1,
201,STAI,A number of statements which people have used to describe themselves are given below.  Read each statement and select the appropriate statement to indicate how you <b>generally</b> feel.  There are no right or wrong answers.  Do not spend too much time on any one statement but give the answers which describe how you <b>generally</b> feel.,I am a steady person.,Almost never;Sometimes;Often;Almost always,false,1,anxiety.19,1;2;3;4,1,0,1,1,
202,STAI,A number of statements which people have used to describe themselves are given below.  Read each statement and select the appropriate statement to indicate how you <b>generally</b> feel.  There are no right or wrong answers.  Do not spend too much time on any one statement but give the answers which describe how you <b>generally</b> feel.,I get in a state of tension or turmoil as I think over my recent concerns and interests,Almost never;Sometimes;Often;Almost always,false,0,anxiety.20,1;2;3;4,1,0,1,1,
203,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes "" ONLY.",When in the dark do you often see shapes and forms even though there is nothing there?,No; Yes,false,0,scz.1,0;1,0,0,0,0,
204,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Are your thoughts sometimes so strong that you can almost hear them?,No; Yes,false,0,scz.2,0;1,0,0,0,0,
205,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.","Have you ever thought that you had special, almost magical powers?",No; Yes,false,0,scz.3,0;1,0,0,0,0,
206,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.","Have you sometimes sensed an evil presence around you, even though you could not see it?",No; Yes,false,0,scz.4,0;1,0,0,0,0,
207,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you think that you could learn to read other's minds if you wanted to?,No; Yes,false,0,scz.5,0;1,0,0,0,0,
208,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",When you look in the mirror does your face sometimes seem quite different from usual?,No; Yes,false,0,scz.6,0;1,0,0,0,0,
209,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do ideas and insights sometimes come to you so fast that you cannot express them all?,No; Yes,false,0,scz.7,0;1,0,0,0,0,
210,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Can some people make you aware of them just by thinking about you?,No; Yes,false,0,scz.8,0;1,0,0,0,0,
211,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Does a passing thought ever seem so real it frightens you?,No; Yes,false,0,scz.9,0;1,0,0,0,0,
212,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you feel that your accidents are caused by mysterious forces?,No; Yes,false,0,scz.10,0;1,0,0,0,0,
213,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you ever have a sense of vague danger or sudden dread for reasons that you do not understand?,No; Yes,false,0,scz.11,0;1,0,0,0,0,
214,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Does your sense of smell sometimes become unusually strong?,No; Yes,false,0,scz.12,0;1,0,0,0,0,
215,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Are you easily confused if too much happens at the same time?,No; Yes,false,0,scz.13,0;1,0,0,0,0,
216,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you frequently have difficulty in starting to do things?,No; Yes,false,0,scz.14,0;1,0,0,0,0,
217,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Are you a person whose mood goes up and down easily?,No; Yes,false,0,scz.15,0;1,0,0,0,0,
218,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you dread going into a room by yourself where other people have already gathered and are talking?,No; Yes,false,0,scz.16,0;1,0,0,0,0,
219,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you find it difficult to keep interested in the same thing for a long time?,No; Yes,false,0,scz.17,0;1,0,0,0,0,
220,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you often have difficulties in controlling your thoughts?,No; Yes,false,0,scz.18,0;1,0,0,0,0,
221,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Are you currently taking part in this Mturk HIT?,No; Yes,false,0,catch.2,0;1,0,0,0,0,
222,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Are you easily distracted from work by daydreams?,No; Yes,false,0,scz.19,0;1,0,0,0,0,
223,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you ever feel that your speech is difficult to understand because the words are all mixed up and don't make sense?,No; Yes,false,0,scz.20,0;1,0,0,0,0,
224,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Are you easily distracted when you read or talk to someone?,No; Yes,false,0,scz.21,0;1,0,0,0,0,
225,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Is it hard for you to make decisions?,No; Yes,false,0,scz.22,0;1,0,0,0,0,
226,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.","When in a crowded room, do you often have difficulty in following a conversation?",No; Yes,false,0,scz.23,0;1,0,0,0,0,
227,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Are there very few things that you have ever enjoyed doing?,No; Yes,false,0,scz.24,0;1,0,0,0,0,
228,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Are you much too independent to get involved with other people?,No; Yes,false,0,scz.25,0;1,0,0,0,0,
229,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you love having your back massaged?,No; Yes,false,1,scz.26,0;1,0,0,0,0,
230,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you find the bright lights of a city exciting to look at?,No; Yes,false,1,scz.27,0;1,0,0,0,0,
231,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you feel very close to your friends?,No; Yes,false,1,scz.28,0;1,0,0,0,0,
232,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Has dancing or the idea of it always seemed dull to you?,No; Yes,false,0,scz.29,0;1,0,0,0,0,
233,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you like mixing with people?,No; Yes,false,1,scz.30,0;1,0,0,0,0,
234,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Is trying new foods something you have always enjoyed?,No; Yes,false,1,scz.31,0;1,0,0,0,0,
235,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Have you often felt uncomfortable when your friends touch you?,No; Yes,false,0,scz.32,0;1,0,0,0,0,
236,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you prefer watching television to going out with people?,No; Yes,false,0,scz.33,0;1,0,0,0,0,
237,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you consider yourself to be pretty much an average sort of person?,No; Yes,false,1,scz.34,0;1,0,0,0,0,
238,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Would you like other people to be afraid of you?,No; Yes,false,0,scz.35,0;1,0,0,0,0,
239,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you often feel the impulse to spend money which you know you can't afford?,No; Yes,false,0,scz.36,0;1,0,0,0,0,
240,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.","Are you usually in an average kind of mood, not too high and not too low?",No; Yes,false,1,scz.37,0;1,0,0,0,0,
241,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you at times have an urge to do something harmful or shocking?,No; Yes,false,0,scz.38,0;1,0,0,0,0,
242,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you stop to think things over before doing anything?,No; Yes,false,1,scz.39,0;1,0,0,0,0,
243,SCZ,"Please read the statements and answer whether you agree or disagree with the statements with ""No"" or ""Yes"" ONLY.",Do you often overindulge in alcohol or food?,No; Yes,false,0,scz.40,0;1,0,0,0,0,
